User - Abuser, result - computer_win, User figure - Spok, computer figure- Paper
User - Abuser, result - user_win, User figure - Paper, computer figure- Spok
User - Abuser, result - user_win, User figure - Lizard, computer figure- Spok
User - Abuser, result - user_win, User figure - Rock, computer figure- Scissors
User - Fgut, result - Draw, User figure - Rock, computer figure- Rock
User - Fgut, result - user_win, User figure - Rock, computer figure- Lizard
User - Fgut, result - computer_win, User figure - Rock, computer figure- Paper
User - Fgut, result - computer_win, User figure - Paper, computer figure- Scissors
User - Fgut, result - user_win, User figure - Paper, computer figure- Spok
User - Fgut, result - user_win, User figure - Paper, computer figure- Spok
User - Fgut, result - Draw, User figure - Paper, computer figure- Paper
User - Fgut, result - user_win, User figure - Paper, computer figure- Spok
User - Fgit, result - user_win, User figure - Rock, computer figure- Lizard
User - Fgit, result - user_win, User figure - Spok, computer figure- Rock
User - Fgot, result - user_win, User figure - Scissors, computer figure- Paper
User - ряљх, result - Draw, User figure - Paper, computer figure- Paper
